0 of 10008 tasks cached; running 10008 on 12 workers
  3/10008 tasks, 1.0 min elapsed
  5/10008 tasks, 1.8 min elapsed
  12/10008 tasks, 2.4 min elapsed
  14/10008 tasks, 3.0 min elapsed
  16/10008 tasks, 3.5 min elapsed
  17/10008 tasks, 4.1 min elapsed
  22/10008 tasks, 4.8 min elapsed
  23/10008 tasks, 23.1 min elapsed
  25/10008 tasks, 26.0 min elapsed
  26/10008 tasks, 26.9 min elapsed
  27/10008 tasks, 28.7 min elapsed
  29/10008 tasks, 30.8 min elapsed
  33/10008 tasks, 37.3 min elapsed
  34/10008 tasks, 38.4 min elapsed
  36/10008 tasks, 39.0 min elapsed
  37/10008 tasks, 39.6 min elapsed
  39/10008 tasks, 40.6 min elapsed
  41/10008 tasks, 47.7 min elapsed
  42/10008 tasks, 49.4 min elapsed
  43/10008 tasks, 53.3 min elapsed
  45/10008 tasks, 62.1 min elapsed
  47/10008 tasks, 62.8 min elapsed
  49/10008 tasks, 64.9 min elapsed
  50/10008 tasks, 65.6 min elapsed
  52/10008 tasks, 66.3 min elapsed
  53/10008 tasks, 74.2 min elapsed
  54/10008 tasks, 75.7 min elapsed
  55/10008 tasks, 78.0 min elapsed
  57/10008 tasks, 87.6 min elapsed
  59/10008 tasks, 89.0 min elapsed
  60/10008 tasks, 90.8 min elapsed
  62/10008 tasks, 92.0 min elapsed
  63/10008 tasks, 93.0 min elapsed
  66/10008 tasks, 94.6 min elapsed
  68/10008 tasks, 97.9 min elapsed
  69/10008 tasks, 98.8 min elapsed
  71/10008 tasks, 99.3 min elapsed
  72/10008 tasks, 101.3 min elapsed
  73/10008 tasks, 104.8 min elapsed
  74/10008 tasks, 106.0 min elapsed
  75/10008 tasks, 106.8 min elapsed
  77/10008 tasks, 107.3 min elapsed
  79/10008 tasks, 107.9 min elapsed
  81/10008 tasks, 108.5 min elapsed
  83/10008 tasks, 109.2 min elapsed
  85/10008 tasks, 109.8 min elapsed
  87/10008 tasks, 110.4 min elapsed
  90/10008 tasks, 111.0 min elapsed
  93/10008 tasks, 111.6 min elapsed
  98/10008 tasks, 112.1 min elapsed
  104/10008 tasks, 112.7 min elapsed
  110/10008 tasks, 113.3 min elapsed
  114/10008 tasks, 113.9 min elapsed
  118/10008 tasks, 114.4 min elapsed
  125/10008 tasks, 115.1 min elapsed
  128/10008 tasks, 115.8 min elapsed
  129/10008 tasks, 117.9 min elapsed
  130/10008 tasks, 118.8 min elapsed
  131/10008 tasks, 119.6 min elapsed
  132/10008 tasks, 120.3 min elapsed
  134/10008 tasks, 121.2 min elapsed
  135/10008 tasks, 121.7 min elapsed
  137/10008 tasks, 124.2 min elapsed
  140/10008 tasks, 126.1 min elapsed
  141/10008 tasks, 127.4 min elapsed
  142/10008 tasks, 128.2 min elapsed
  143/10008 tasks, 130.3 min elapsed
  145/10008 tasks, 131.2 min elapsed
  146/10008 tasks, 133.4 min elapsed
  147/10008 tasks, 134.3 min elapsed
  148/10008 tasks, 135.9 min elapsed
  149/10008 tasks, 136.6 min elapsed
  151/10008 tasks, 140.1 min elapsed
  153/10008 tasks, 141.4 min elapsed
  154/10008 tasks, 142.4 min elapsed
  155/10008 tasks, 144.0 min elapsed
  156/10008 tasks, 145.2 min elapsed
  157/10008 tasks, 145.8 min elapsed
  159/10008 tasks, 149.5 min elapsed
  161/10008 tasks, 150.1 min elapsed
  163/10008 tasks, 150.9 min elapsed
  164/10008 tasks, 152.4 min elapsed
  165/10008 tasks, 153.4 min elapsed
  166/10008 tasks, 154.2 min elapsed
  169/10008 tasks, 158.1 min elapsed
  170/10008 tasks, 160.4 min elapsed
  171/10008 tasks, 162.7 min elapsed
  173/10008 tasks, 163.8 min elapsed
  175/10008 tasks, 165.5 min elapsed
  176/10008 tasks, 166.1 min elapsed
  177/10008 tasks, 169.9 min elapsed
  179/10008 tasks, 172.5 min elapsed
  180/10008 tasks, 173.1 min elapsed
  181/10008 tasks, 173.7 min elapsed
  183/10008 tasks, 176.3 min elapsed
  185/10008 tasks, 178.1 min elapsed
